College,Location,State,Program Level,Course / Specialization,Total Fee (INR),Notes,Hostel Fee (INR/year)
Al-Azhar Group of Institutions,Idukki,Kerala,B.Com,Logistics,"296,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Com,Hospital Admin,"296,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Com,Entrepreneurship,"296,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Com,Aviation Management ,"296,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Com,Retail,"296,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Com,ACCA,"360,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,BA,English + Aviation & Airport Management,"271,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Sc,Microbiology + Hospital Administration,"286,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,BSW,Hospital Administration,"250,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Sc,Chemistry,"131,000","Adm. fee Rs20,000 included",
Al-Azhar Group of Institutions,Idukki,Kerala,BA,Arabic,"131,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,MSW,Hospital Administration,"167,900",,
Al-Azhar Group of Institutions,Idukki,Kerala,MCA,Computer Applications (General),"175,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,M.Sc,Chemistry,"138,400",,
Al-Azhar Group of Institutions,Idukki,Kerala,MBA,Digital Marketing,"295,000",Total 4-sem,
Al-Azhar Group of Institutions,Idukki,Kerala,MBA,Logistics,"295,000",Total 4-sem,
Al-Azhar Group of Institutions,Idukki,Kerala,MBA,Hospital Admin,"295,000",Total 4-sem,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Tech,Computer Science Engineering ,"307,500","Total 8-sem (Rs37,500/sem + Rs7,500 adm.)",
Al-Azhar Group of Institutions,Idukki,Kerala,B.Tech,Computer Science Engineering - Cyber Security,"307,500",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Tech,Artificial Intelligence & Machine Learning,"307,500",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Tech,Biomedical Engineering,"287,500","Rs35,000/sem + adm.",
Al-Azhar Group of Institutions,Idukki,Kerala,B.Tech,Civil Engineering Engineering,"187,500","Rs22,500/sem + adm.",
Al-Azhar Group of Institutions,Idukki,Kerala,B.Tech,Automobile Engineering,"187,500",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Tech,Electronics & Communication Engineering,"187,500",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Tech,Mechanical Engineering,"187,500",,
Al-Azhar Group of Institutions,Idukki,Kerala,BBA,Aviation,"341,000",8-sem total,
Al-Azhar Group of Institutions,Idukki,Kerala,BBA,Logistics,"341,000",8-sem total,
Al-Azhar Group of Institutions,Idukki,Kerala,BBA,Hospital Adminstration,"341,000",8-sem total,
Al-Azhar Group of Institutions,Idukki,Kerala,BBA,Retail Management,"341,000",8-sem total,
Al-Azhar Group of Institutions,Idukki,Kerala,BCA,Artificial Intelligence & Data Science,"341,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,BCA,Cloud & DevOps,"341,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,BCA,Ethical Hacking,"341,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,Polytechnic Diploma,Automobile Engineering,"90,000",Total 3-year (Rs15k/sem),
Al-Azhar Group of Institutions,Idukki,Kerala,Polytechnic Diploma,Mechanical Engineering,"90,000",Total 3-year (Rs15k/sem),
Al-Azhar Group of Institutions,Idukki,Kerala,Polytechnic Diploma,Electrical & Electronics Engineering,"90,000",Total 3-year (Rs15k/sem),
Al-Azhar Group of Institutions,Idukki,Kerala,Polytechnic Diploma,Civil Engineering Engineering,"90,000",Total 3-year (Rs15k/sem),
Al-Azhar Group of Institutions,Idukki,Kerala,Polytechnic Diploma,Electronics & Communication Engineering,"90,000",Total 3-year (Rs15k/sem),
Al-Azhar Group of Institutions,Idukki,Kerala,Polytechnic Diploma,Computer Science Engineering ,"90,000",Total 3-year (Rs15k/sem),
Al-Azhar Group of Institutions,Idukki,Kerala,Polytechnic Diploma,Artificial Intelligence & Machine Learning,"90,000",Total 3-year (Rs15k/sem),
Al-Azhar Group of Institutions,Idukki,Kerala,Polytechnic Diploma,Cyber Forensics,"90,000",Total 3-year (Rs15k/sem),
Al-Azhar Group of Institutions,Idukki,Kerala,LLB,LLB (3 Year),"180,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Com,LLB,"302,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,BA,LLB,"302,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,LLM,LLM,"150,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Ed,Education,"120,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Pharm,Pharmacy,"605,004","Total 4-year; CD Rs10,000 extra",
Al-Azhar Group of Institutions,Idukki,Kerala,D.Pharm,Diploma Pharmacy,"2,55,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,Diploma (Paramedical),Diploma Health Inspector,"2,55,001",,
Al-Azhar Group of Institutions,Idukki,Kerala,Diploma (Paramedical),Operation Theatre & Anesthesia Technology,"2,55,002",,
Al-Azhar Group of Institutions,Idukki,Kerala,Diploma (Paramedical),MLT,"2,55,003",,
Al-Azhar Group of Institutions,Idukki,Kerala,Diploma (Dental),Diploma Dental Mechanics,"2,55,004",,
Al-Azhar Group of Institutions,Idukki,Kerala,Diploma (Dental),Hygienist,"2,55,005",,
Al-Azhar Group of Institutions,Idukki,Kerala,Diploma (Dental),Operating Room Asst.,"2,55,006",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Sc,Physiotherapy,"440,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Sc,Optometry,"406,912",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Sc,Medical Laboratory Technology,"476,833",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Sc,General Nursing & Midwifery,"270,000",,
Al-Azhar Group of Institutions,Idukki,Kerala,B.Sc,Nursing,"424,000",,
Apollo Apex Group of Institutions,Bengaluru,Karnataka,B.Sc,Nursing,"995,000",,
Apollo Apex Group of Institutions,Bengaluru,Karnataka,Diploma,General Nursing & Midwifery,"425,000",,
Apollo Apex Group of Institutions,Bengaluru,Karnataka,B.Sc,Operation Theatre & Anesthesia Technology,"370,000",Total 3-year; hostel Rs60k/yr extra,
Apollo Apex Group of Institutions,Bengaluru,Karnataka,B.Sc,Anesthesia Technology,"370,000",Total 3-year; hostel Rs60k/yr extra,
Apollo Apex Group of Institutions,Bengaluru,Karnataka,B.Sc,Medical Imaging Technology,"295,000",,
Apollo Apex Group of Institutions,Bengaluru,Karnataka,B.Sc,Cardiac Care Technology,"470,000",Hostel compulsory; Rs60k/yr extra,
Apollo Apex Group of Institutions,Bengaluru,Karnataka,B.Sc,Medical Laboratory Technology,"225,000",,
Apollo Apex Group of Institutions,Bengaluru,Karnataka,B.Sc,Physiotherapy,"395,000",Hostel compulsory,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.E,Computer Science Engineering,"2,800,000",Total 4-year (Rs7L/yr); admission fee extra,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.E,Artificial Intelligence & Machine Learning,"2,400,000",Rs6L/yr,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.E,Data Science,"2,400,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.E,Information Science,"2,200,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.E,Electronics & Communication Engineering,"1,800,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.E,Civil Engineering Engineering,"800,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.E,Mechanical Engineering,"800,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.E,Electrical & Electronics Engineering,"1,400,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,M.Tech,Structural Engineering,"400,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,MBA,MBA (BU),"525,000",Total 2-year,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,MBA,MBA (VTU),"800,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,M.Com,M.Com (Advanced),"300,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Com,Commerce (Advanced),"440,000",Total 3-year,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,BBA,Business Administration (Advanced),"460,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,BCA,Computer Applications ,"460,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Forensic Science,"440,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Com,Commerce ,"285,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Ed,Education,"225,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,BCA,Cyber Security,"460,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,BCA,Artificial Intelligence & Machine Learning,"460,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,BCA,Data Science,"460,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,BBA,Aviation & Logistics,"460,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,BBA,Business Analytics,"460,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Com,Commerce,"285,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Pharm,Pharmacy,"550,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,D.Pharm,Diploma Pharmacy,"225,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Physiotherapy,"625,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,BHM,Hotel Management,"520,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Arch,Architecture,"1,850,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Fashion & Apparel Design,"400,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Interior Design,"400,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Cardiac Care Technology,"625,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Perfusion Technology,"475,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Medical Imaging Technology,"400,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Operation Theatre & Anesthesia Technology,"400,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Respiratory Therapy,"400,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Neuroscience Technology,"400,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Hospital Administration,"350,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Emergency Medicine & Trauma Care Technology,"325,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Optometry,"220,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Renal Dialysis Technology,"220,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Medical Laboratory Technology,"220,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,M.Sc,MSN,"275,000",Total 2-year,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,M.Sc,OBG,"275,000",Total 2-year,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,M.Sc,PEAD,"275,000",Total 2-year,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,M.Sc,CHN,"275,000",Total 2-year,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,B.Sc,Post B.Sc Nursing,"240,000",,
BGS & SJB Group of Institutions,Bengaluru,Karnataka,Diploma,DGeneral Nursing & Midwifery,"390,000",Total 3-year,
Eranad Knowledge City,Malappuram,Kerala,BBA,Logistics & Supply Chain Management,"287,000",Total 3-year; App. fee Rs1500 extra,
Eranad Knowledge City,Malappuram,Kerala,BBA,Aviation & Airport Management,"287,000",,
Eranad Knowledge City,Malappuram,Kerala,BBA,Business Analytics,"297,000",,
Eranad Knowledge City,Malappuram,Kerala,B.Com,Aviation & Airport Management,"283,000",,
Eranad Knowledge City,Malappuram,Kerala,B.Com,Logistics & Supply Chain Management,"283,000",,
Eranad Knowledge City,Malappuram,Kerala,B.Com,Business Analytics,"293,000",,
Eranad Knowledge City,Malappuram,Kerala,B.Sc,Artificial Intelligence & Machine Learning,"351,000",,
Eranad Knowledge City,Malappuram,Kerala,B.Sc,Computer Science (Ethical Hacking & Cyber Security),"351,000",,
Eranad Knowledge City,Malappuram,Kerala,B.Sc,Computer Science (Cloud Computing),"351,000",,
Eranad Knowledge City,Malappuram,Kerala,BCA,Artificial Intelligence & Machine Learning,"351,000",,
Eranad Knowledge City,Malappuram,Kerala,BCA,Computer Science (Cloud Computing),"351,000",,
Eranad Knowledge City,Malappuram,Kerala,BCA,Computer Science (Ethical Hacking & Cyber Security),"351,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,BAMS,Ayurvedic Medicine & Surgery (BAMS),"1,800,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Nursing,"1,080,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,M.Sc,Post B.Sc Nursing,"220,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Physiotherapy,"530,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Pharm,Pharmacy,"600,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,Pharm.D,Doctor of Pharmacy (Pharm.D),"1,250,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,PB Pharm.D,Post Baccalaureate Doctor of Pharmacy,"550,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,M.Pharm,Pharmacology,"600,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,M.Pharm,Quality Assurance,"600,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,M.Pharm,Pharmaceutics,"600,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Cardiac Care Technology,"600,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Medical Imaging Technology,"460,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Medical Laboratory Technology,"350,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Optometry,"310,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Operation Theatre & Anesthesia Technology,"460,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Respiratory Care Technology,"330,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Renal Dialysis Technology,"330,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Emergency Medicine,"350,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,MBA,HR,"400,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,MBA,Marketing,"400,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,MBA,Finance,"400,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,MBA,Hospital Admin,"400,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,MBA,Artificial Intelligence,"400,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,BBA,Hospital Administration,"330,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.E,Computer Science,"620,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.E,Computer Science - Data Science,"620,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.E,Artificial Intelligence,"620,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.E,Aeronautical Engineering,"620,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.E,Mechanical Engineering,"530,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.E,Electronics & Communication Engineering,"530,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Des,Interior Designing,"225,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Interior Designing,"225,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Des,Fashion Designing,"225,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,B.Sc,Fashion Designing,"225,000",,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,BHM,Hotel Management,"340,000",Total 4-year,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,Diploma,Diploma in Interior Designing,"350,000",Total 2-year,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,Diploma,Fashion,"350,000",Total 2-year,
G.R. Medical College & Hospital (Karavali Group),Mangalore,Karnataka,Diploma,Hotel Management,"350,000",Total 2-year,
Hita Education Institution,Bengaluru,Karnataka,B.Sc,Nursing,"795,000",Total 4-year,
Hita Education Institution,Bengaluru,Karnataka,Diploma,General Nursing & Midwifery,"370,000",Total 3-year,
Hita Education Institution,Bengaluru,Karnataka,B.Sc,Physiotherapy,"700,000",Total 4-year,
Hita Education Institution,Bengaluru,Karnataka,B.Sc,Operation Theatre & Anesthesia Technology,"460,000",Total 3-year,
Hita Education Institution,Bengaluru,Karnataka,B.Sc,Anesthesia Technology,"460,000",Total 3-year,
Hita Education Institution,Bengaluru,Karnataka,B.Sc,Medical Imaging Technology,"460,000",Total 3-year,
Jai Bharath Group of Institutions,Ernakulam,Kerala,BBA,"Aviation, Travel & Hospitality Management","368,000",Total 3-year; App. Rs1500 extra,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BBA,Travel & Hospitality Management,"368,000",Total 3-year; App. Rs1500 extra,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BBA,Logistics,"355,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BBA,Ethical Hacking & SCM,"355,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BBA, Travel Management & Logistics,"368,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BCA,Data Science with Artificial Intelligence & Machine Learning,"365,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BCA,Artificial Intelligence-Enabled Ethical Hacking & Cyber Security & CCNA,"365,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BCA,Cloud Computing & CCNA,"365,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Com,ACCA,"375,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Com,Data Science with Artificial Intelligence & Machine Learning,"300,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Com,Artificial Intelligence-Enabled Ethical Hacking & Cyber Security,"300,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Com,"Logistics, WarEthical Hackingouse & Digital Marketing","290,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Com,Hospital Administration,"295,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Com,Cloud Computing & CCNA,"295,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Sc,Data Science with Artificial Intelligence & Machine Learning,"360,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Sc,Artificial Intelligence-Enabled Ethical Hacking & Cyber Security,"360,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Sc,Cloud Computing & CCNA,"317,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Sc,Cyber Forensic + Artificial Intelligence-Enabled Ethical Hacking & Cyber Security,"360,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Sc,Cyber Forensic + Data Science with Artificial Intelligence & Machine Learning,"360,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Sc,Cyber Forensic + Cloud Computing & CCNA,"317,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Sc,Psychology + Hospital Administration,"245,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BSW,Hospital Administration,"245,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,MSW,Social Work,"175,000",Total 2-year,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,MBA,Business Administration,"350,000",Total 2-year,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Tech,Artificial Intelligence & Machine Learning,"318,500",8-sem total (Rs18.5k adm. + Rs37.5k/sem),"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Tech,Computer Science Engineering - Cyber Security,"318,500",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Tech,Computer Science Engineering - IoT,"318,500",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Tech,Computer Science Engineering,"318,500",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Tech,Mechanical Engineering,"218,500",Rs18.5k adm. + Rs25k/sem,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Tech,Civil Engineering Engineering,"218,500",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Tech,Electronics & Communication Engineering,"218,500",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,B.Tech,Electrical & Electronics Engineering,"218,500",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BCA,Data Science,"365,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BCA,Ethical Hacking,"365,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BCA,Cloud Computing ,"365,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BBA,Aviation,"368,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,BBA,Logistics SCM ,"368,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,Polytechnic Diploma,Computer Science Engineering,"132,797",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,Polytechnic Diploma,Mechanical Engineering,"132,798",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,Polytechnic Diploma,Civil Engineering Engineering,"132,799",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,Polytechnic Diploma,Cyber Forensic,"132,800",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,Polytechnic Diploma,Electrical & Electronics Engineering,"132,800",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,Polytechnic Diploma,Polytechnic Lateral Entry,"121,000",,"60,000/year"
Jai Bharath Group of Institutions,Ernakulam,Kerala,Diploma,Diploma in Health Inspector,"150,000",Total 2-year (Rs75k/yr),"60,000/year"
KMCT College of Engineering & Management (Kasaragod),Kasaragod,Kerala,B.Tech,Computer Science Engineering,"280,000",Total 4-year (Rs70k/yr),
KMCT College of Engineering & Management (Kasaragod),Kasaragod,Kerala,B.Tech,Artificial Intelligence & Data Science,"280,000",,
KMCT College of Engineering & Management (Kasaragod),Kasaragod,Kerala,B.Tech,Computer Science & Business Systems,"200,000",Rs50k/yr,
KMCT College of Engineering & Management (Kasaragod),Kasaragod,Kerala,BCA,Artificial Intelligence & Machine Learning with Cyber Security,"395,000",Total,
KMCT College of Engineering & Management (Kasaragod),Kasaragod,Kerala,B.Tech,Electronics & Communication Engineering,"160,000",Rs40k/yr,
KMCT College of Engineering & Management (Kasaragod),Kasaragod,Kerala,BCA,Artificial Intelligence & Machine Learning with Robotics & GenArtificial Intelligence,"395,000",Total 8-sem,
KMCT College of Engineering & Management (Kasaragod),Kasaragod,Kerala,BBA,Aviation,"340,000",Total 8-sem,
KMCT College of Engineering & Management (Kasaragod),Kasaragod,Kerala,BBA,Logistics SCM,"340,000",Total 8-sem,
KMCT College of Engineering & Management (Kasaragod),Kasaragod,Kerala,BBA,Hospital Administration,"340,000",Total 8-sem,
KMCT College of Engineering & Management (Kasaragod),Kasaragod,Kerala,MBA,Business Administration,"240,000",Total 2-year (4 sem),
KMCT College of Technology & Management (Vadakara),Kozhikode,Kerala,B.Tech,Computer Science Engineering,"280,000",Total 4-year,
KMCT College of Technology & Management (Vadakara),Kozhikode,Kerala,B.Tech,Artificial Intelligence & Data Science,"280,000",,
KMCT College of Technology & Management (Vadakara),Kozhikode,Kerala,B.Tech,Computer Science & Business Systems,"200,000",,
KMCT College of Technology & Management (Vadakara),Kozhikode,Kerala,B.Tech,Electronics & Communication Engineering,"160,000",,
KMCT College of Technology & Management (Vadakara),Kozhikode,Kerala,BCA,Artificial Intelligence & Machine Learning with Cyber Security,"395,000",Total 8-sem,
